FAST School of Computing TIME TABLE Spring 2022 <V2.6>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Codes,,,,,BDS-2021,,, BDS-2020,,,BSE-2021,,,BSE-2020,,,BCS-2021,,,BCS-2020,,,BCS-2019,,,BCS-2018 ,,, BCS-2017,,,MDS-2021 ,,, MDS-2020,,,MSP-2021 ,,,MSP-2020 ,,,MCS-2021 ,,,MCS-2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,Digital Logic Design Lab (BCS-2M1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2L1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2B1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,Digital Logic Design Lab (BCS-2M2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2B2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Embedded Lab,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2L2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday                     Wednesday,Seminar Hall,,,,,,,,,,,,,Software Engineering (BCS-6A),,,,,,,,,Database Systems (BCS-6A),,,,,,,,,Natural Language Processing (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,Funda. of Software Eng (BDS-4A),,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,Digital Image Processing (BCS-6A),,,,,,,,,Parallel & Dist Computing (BCS-6F),,,,,,,,,Digital Image Processing (BCS-6B),,,,,,,,,Digital Logic Design (BCS-2B),,,,,,,,,,,,,,,,,,Software Testing (BCS-8B),,,,,,,,,Requirement Engineering (MSP-2A),,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,Digital Logic Design (BCS-2C),,,,,,,,,Database Systems (BCS-4A),,,,,,,,,Database Systems (BCS-4B),,,,,,,,,Database Systems (BDS-4A),,,,,,,,,Database Systems (BCS-4C),,,,,,,,,International Relations (BCS-8A),,,,,,,,,Human Resource Management (MSP-2A),,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,Design & Analysis of Algo (BCS-4D),,,,,,,,,Database Systems (BCS-4D),,,,,,,,,Design & Analysis of Algo (BCS-4C),,,,,,,,, Object Oriented Programming (BDS-2C),,,,,,,,,Sociology (BCS-6A),,,,,,,,,Professional Practices in IT (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
